title,year,feminism,dubious,stars,numVotes,titleType,runtimeMinutes,first_genre,second_genre,third_genre,full feminist
Passage de Venus,1874,0,no,6.8,2024.0,short,1.0,Documentary,Short,,0
La Rosace Magique,1877,0,no,5.9,293.0,short,1.0,Animation,Short,,0
Sallie Gardner at a Gallop,1878,0,no,7.4,3590.0,short,1.0,Documentary,Short,Sport,0
Le singe musicien,1878,0,no,6.0,376.0,short,1.0,Animation,Short,,0
Athlete Swinging a Pick,1881,0,no,5.2,549.0,short,1.0,Documentary,Short,,0
Buffalo Running,1883,0,no,6.2,1173.0,short,1.0,Documentary,Short,,0
L&#39;homme machine,1885,0,no,5.3,498.0,short,1.0,Animation,Short,,0
Man Walking Around the Corner,1887,0,no,5.2,1532.0,short,1.0,Documentary,Short,,0
Cockatoo Flying,1887,0,no,5.3,248.0,short,,Documentary,Short,,0
Child Carrying Flowers to Woman,1887,0,no,5.8,407.0,short,1.0,Short,,,0
Jumping Over a Man&#39;s Back-Leapfrog,1887,0,no,5.1,251.0,short,1.0,Short,Sport,,0
Man Riding Jumping Horse,1887,0,no,5.2,189.0,short,,Short,,,0
Baboon Climbing a Pole,1887,0,no,4.6,128.0,short,1.0,Documentary,Short,,0
Roundhay Garden Scene,1888,0,no,7.3,6721.0,short,1.0,Documentary,Short,,0
Accordion Player,1888,0,no,5.5,1433.0,short,1.0,Documentary,Short,,0
Traffic Crossing Leeds Bridge,1888,0,no,6.6,3269.0,short,1.0,Documentary,Short,,0
Pferd und Reiter Springen uber ein Hindernis,1888,0,no,5.7,435.0,short,1.0,Short,,,0
Brighton Street Scene,1888,0,no,5.5,156.0,short,,Documentary,Short,,0
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,0,no,5.0,477.0,short,1.0,Documentary,Short,,0
Hyde Park Corner,1889,0,no,5.2,294.0,short,1.0,Short,,,0
"Monkeyshines, No. 1",1890,0,no,4.9,1625.0,short,1.0,Documentary,Short,,0
"Monkeyshines, No. 2",1890,0,no,4.8,1183.0,short,1.0,Short,,,0
London&#39;s Trafalgar Square,1890,0,no,5.4,903.0,short,1.0,Documentary,Short,,0
"Monkeyshines, No. 3",1890,0,no,4.2,470.0,short,1.0,Short,,,0
Mosquinha,1890,0,no,6.5,726.0,short,1.0,Short,,,0
"Traffic in King&#39;s Road, Chelsea",1890,0,no,4.9,236.0,short,,Short,,,0
Dickson Greeting,1891,0,no,5.3,1548.0,short,1.0,Short,,,0
